Condigo da Loja;Função DRE;Resultado DRE
00000016;Receitas;1523,49
00000016;Impostos;-108,07
00000016;Custo;-1901,16
00000016;Despesa;-858,69
00000016;Resultado Financeiro;339,10
00000016;Provisão/Perda;-545,20
00000016;PPR;-147,95
00000016;IR/CSLL;0,00
00003658;Receitas;8496,62
00003658;Impostos;-602,73
00003658;Custo;-6336,10
00003658;Despesa;-1039,59
00003658;Resultado Financeiro;410,56
00003658;Provisão/Perda;-631,61
00003658;PPR;-173,71
00003658;IR/CSLL;-34,23
01100086;Receitas;9844,19
01100086;Impostos;-698,33
01100086;Custo;-6212,79
01100086;Despesa;-849,01
01100086;Resultado Financeiro;335,35
01100086;Provisão/Perda;-517,82
01100086;PPR;-145,98
01100086;IR/CSLL;-486,92
01100087;Receitas;8092,15
01100087;Impostos;-574,04
01100087;Custo;-2696,58
01100087;Despesa;-849,01
01100087;Resultado Financeiro;335,35
01100087;Provisão/Perda;-517,82
01100087;PPR;-136,97
01100087;IR/CSLL;-1013,19
01100088;Receitas;8001,36
01100088;Impostos;-567,60
01100088;Custo;-2874,25
01100088;Despesa;-852,16
01100088;Resultado Financeiro;336,60
01100088;Provisão/Perda;-519,71
01100088;PPR;-137,96
01100088;IR/CSLL;-939,19
01100089;Receitas;7928,85
01100089;Impostos;-562,46
01100089;Custo;-3799,55
01100089;Despesa;-840,03
01100089;Resultado Financeiro;331,80
01100089;Provisão/Perda;-512,43
01100089;PPR;-137,50
01100089;IR/CSLL;-668,06
01100090;Receitas;9078,51
01100090;Impostos;-644,01
01100090;Custo;-4417,71
01100090;Despesa;-839,05
01100090;Resultado Financeiro;331,42
01100090;Provisão/Perda;-511,84
01100090;PPR;-138,68
01100090;IR/CSLL;-792,85
01100094;Receitas;2468,51
01100094;Impostos;-175,11
01100094;Custo;-1769,76
01100094;Despesa;-811,33
01100094;Resultado Financeiro;320,47
01100094;Provisão/Perda;-495,18
01100094;PPR;-129,66
01100094;IR/CSLL;0,00
01100099;Receitas;7958,69
01100099;Impostos;-564,57
01100099;Custo;-2971,31
01100099;Despesa;-840,79
01100099;Resultado Financeiro;332,10
01100099;Provisão/Perda;-512,88
01100099;PPR;-138,11
01100099;IR/CSLL;-905,03
01100101;Receitas;7287,35
01100101;Impostos;-516,95
01100101;Custo;-1764,79
01100101;Despesa;-845,65
01100101;Resultado Financeiro;334,02
01100101;Provisão/Perda;-515,80
01100101;PPR;-134,13
01100101;IR/CSLL;-1066,16
01100102;Receitas;2514,22
01100102;Impostos;-178,35
01100102;Custo;-1583,00
01100102;Despesa;-566,65
01100102;Resultado Financeiro;223,82
01100102;Provisão/Perda;-403,46
01100102;PPR;-91,34
01100102;IR/CSLL;0,00
